Cell Number,Probability of Stability,Distance from Crest
1,0.29088917236983136,1.0416666666666667
2,0.5207038176858625,3.125
3,0.654579216988771,5.208333333333333
4,0.8004434757242471,7.291666666666667
5,0.8435766886990671,9.375000000000002
6,0.9253716468524568,11.458333333333334
7,0.9543848580154657,13.541666666666668
8,0.9689779885745544,15.625000000000002
9,0.9909749728425565,17.708333333333332
10,0.9899818254501843,19.791666666666668
11,0.9988610964621509,21.875
12,0.9992006335761774,23.958333333333332
